race,num_examples,TPR,FPR,threshold
Hispanic,210,0.0,0.0,0.63
Asian,15,0.0,0.0,0.63
Native American,10,0.0,0.0,0.63
Other,141,0.0,0.0,0.64
Caucasian,924,0.0,0.0,0.64
African-American,1537,0.0,0.0,0.64
Hispanic,210,0.0,0.0,0.64
Asian,15,0.0,0.0,0.64
Native American,10,0.0,0.0,0.64
Other,141,0.0,0.0,0.65
Caucasian,924,0.0,0.0,0.65
African-American,1537,0.0,0.0,0.65
Hispanic,210,0.0,0.0,0.65
Asian,15,0.0,0.0,0.65
Native American,10,0.0,0.0,0.65
Other,141,0.0,0.0,0.66
Caucasian,924,0.0,0.0,0.66
African-American,1537,0.0,0.0,0.66
Hispanic,210,0.0,0.0,0.66
Asian,15,0.0,0.0,0.66
Native American,10,0.0,0.0,0.66
Other,141,0.0,0.0,0.67
Caucasian,924,0.0,0.0,0.67
African-American,1537,0.0,0.0,0.67
Hispanic,210,0.0,0.0,0.67
Asian,15,0.0,0.0,0.67
Native American,10,0.0,0.0,0.67
Other,141,0.0,0.0,0.68
Caucasian,924,0.0,0.0,0.68
African-American,1537,0.0,0.0,0.68
Hispanic,210,0.0,0.0,0.68
Asian,15,0.0,0.0,0.68
Native American,10,0.0,0.0,0.68
Other,141,0.0,0.0,0.6900000000000001
Caucasian,924,0.0,0.0,0.6900000000000001
African-American,1537,0.0,0.0,0.6900000000000001
Hispanic,210,0.0,0.0,0.6900000000000001
Asian,15,0.0,0.0,0.6900000000000001
Native American,10,0.0,0.0,0.6900000000000001
Other,141,0.0,0.0,0.7000000000000001
Caucasian,924,0.0,0.0,0.7000000000000001
African-American,1537,0.0,0.0,0.7000000000000001
Hispanic,210,0.0,0.0,0.7000000000000001
Asian,15,0.0,0.0,0.7000000000000001
Native American,10,0.0,0.0,0.7000000000000001
Other,141,0.0,0.0,0.71
Caucasian,924,0.0,0.0,0.71
African-American,1537,0.0,0.0,0.71
Hispanic,210,0.0,0.0,0.71
Asian,15,0.0,0.0,0.71
Native American,10,0.0,0.0,0.71
Other,141,0.0,0.0,0.72
Caucasian,924,0.0,0.0,0.72
African-American,1537,0.0,0.0,0.72
Hispanic,210,0.0,0.0,0.72
Asian,15,0.0,0.0,0.72
Native American,10,0.0,0.0,0.72
Other,141,0.0,0.0,0.73
Caucasian,924,0.0,0.0,0.73
African-American,1537,0.0,0.0,0.73
Hispanic,210,0.0,0.0,0.73
Asian,15,0.0,0.0,0.73
Native American,10,0.0,0.0,0.73
Other,141,0.0,0.0,0.74
Caucasian,924,0.0,0.0,0.74
African-American,1537,0.0,0.0,0.74
Hispanic,210,0.0,0.0,0.74
Asian,15,0.0,0.0,0.74
Native American,10,0.0,0.0,0.74
Other,141,0.0,0.0,0.75
Caucasian,924,0.0,0.0,0.75
African-American,1537,0.0,0.0,0.75
Hispanic,210,0.0,0.0,0.75
Asian,15,0.0,0.0,0.75
Native American,10,0.0,0.0,0.75
Other,141,0.0,0.0,0.76
Caucasian,924,0.0,0.0,0.76
African-American,1537,0.0,0.0,0.76
Hispanic,210,0.0,0.0,0.76
Asian,15,0.0,0.0,0.76
Native American,10,0.0,0.0,0.76
Other,141,0.0,0.0,0.77
Caucasian,924,0.0,0.0,0.77
African-American,1537,0.0,0.0,0.77
Hispanic,210,0.0,0.0,0.77
Asian,15,0.0,0.0,0.77
Native American,10,0.0,0.0,0.77
Other,141,0.0,0.0,0.78
Caucasian,924,0.0,0.0,0.78
African-American,1537,0.0,0.0,0.78
Hispanic,210,0.0,0.0,0.78
Asian,15,0.0,0.0,0.78
Native American,10,0.0,0.0,0.78
Other,141,0.0,0.0,0.79
Caucasian,924,0.0,0.0,0.79
African-American,1537,0.0,0.0,0.79
Hispanic,210,0.0,0.0,0.79
Asian,15,0.0,0.0,0.79
Native American,10,0.0,0.0,0.79
Other,141,0.0,0.0,0.8
Caucasian,924,0.0,0.0,0.8
African-American,1537,0.0,0.0,0.8
Hispanic,210,0.0,0.0,0.8
Asian,15,0.0,0.0,0.8
Native American,10,0.0,0.0,0.8
Other,141,0.0,0.0,0.81
Caucasian,924,0.0,0.0,0.81
African-American,1537,0.0,0.0,0.81
Hispanic,210,0.0,0.0,0.81
Asian,15,0.0,0.0,0.81
Native American,10,0.0,0.0,0.81
Other,141,0.0,0.0,0.8200000000000001
Caucasian,924,0.0,0.0,0.8200000000000001
African-American,1537,0.0,0.0,0.8200000000000001
Hispanic,210,0.0,0.0,0.8200000000000001
Asian,15,0.0,0.0,0.8200000000000001
Native American,10,0.0,0.0,0.8200000000000001
Other,141,0.0,0.0,0.8300000000000001
Caucasian,924,0.0,0.0,0.8300000000000001
African-American,1537,0.0,0.0,0.8300000000000001
Hispanic,210,0.0,0.0,0.8300000000000001
Asian,15,0.0,0.0,0.8300000000000001
Native American,10,0.0,0.0,0.8300000000000001
Other,141,0.0,0.0,0.84
Caucasian,924,0.0,0.0,0.84
African-American,1537,0.0,0.0,0.84
Hispanic,210,0.0,0.0,0.84
Asian,15,0.0,0.0,0.84
Native American,10,0.0,0.0,0.84
Other,141,0.0,0.0,0.85
Caucasian,924,0.0,0.0,0.85
African-American,1537,0.0,0.0,0.85
Hispanic,210,0.0,0.0,0.85
Asian,15,0.0,0.0,0.85
Native American,10,0.0,0.0,0.85
