<<<<<<< HEAD
race,FPR,TPR,threshold,auc,n
Caucasian,0.12574850299401197,0.32860520094562645,0.48066834506286954,0.6585693860505938,924
Caucasian,0.1277445109780439,0.32860520094562645,0.4806570301192506,0.6585693860505938,924
Caucasian,0.1277445109780439,0.33569739952718675,0.4806460086837535,0.6585693860505938,924
Caucasian,0.1277445109780439,0.3404255319148936,0.48062489553219434,0.6585693860505938,924
Caucasian,0.13572854291417166,0.3404255319148936,0.4805252498771374,0.6585693860505938,924
Caucasian,0.13572854291417166,0.34278959810874704,0.480504074962668,0.6585693860505938,924
Caucasian,0.13972055888223553,0.34278959810874704,0.4804476862411825,0.6585693860505938,924
Caucasian,0.13972055888223553,0.34515366430260047,0.4802101633470172,0.6585693860505938,924
Caucasian,0.14171656686626746,0.34515366430260047,0.48019769155587083,0.6585693860505938,924
Caucasian,0.14171656686626746,0.3546099290780142,0.480072085404654,0.6585693860505938,924
Caucasian,0.14770459081836326,0.3546099290780142,0.4798584099161504,0.6585693860505938,924
Caucasian,0.14770459081836326,0.3640661938534279,0.47966781381134155,0.6585693860505938,924
Caucasian,0.15169660678642716,0.3640661938534279,0.47958911518145214,0.6585693860505938,924
Caucasian,0.15169660678642716,0.36879432624113473,0.4795332844986659,0.6585693860505938,924
Caucasian,0.1536926147704591,0.36879432624113473,0.4794849950596938,0.6585693860505938,924
Caucasian,0.1536926147704591,0.37115839243498816,0.4794303174261499,0.6585693860505938,924
Caucasian,0.1596806387225549,0.37115839243498816,0.4793173920696847,0.6585693860505938,924
Caucasian,0.1596806387225549,0.37825059101654845,0.4790532808016089,0.6585693860505938,924
Caucasian,0.16167664670658682,0.37825059101654845,0.47897231388875017,0.6585693860505938,924
Caucasian,0.16167664670658682,0.3829787234042553,0.47883324852872067,0.6585693860505938,924
Caucasian,0.16367265469061876,0.3829787234042553,0.4787542027195261,0.6585693860505938,924
Caucasian,0.16367265469061876,0.38534278959810875,0.4786369048252371,0.6585693860505938,924
Caucasian,0.16766467065868262,0.38534278959810875,0.4785483733830865,0.6585693860505938,924
Caucasian,0.16766467065868262,0.3877068557919622,0.478547043020917,0.6585693860505938,924
Caucasian,0.16966067864271456,0.3877068557919622,0.4784104810126149,0.6585693860505938,924
Caucasian,0.16966067864271456,0.3947990543735225,0.47827315887777616,0.6585693860505938,924
Caucasian,0.17764471057884232,0.3947990543735225,0.47824367783164423,0.6585693860505938,924
Caucasian,0.17764471057884232,0.3971631205673759,0.478228392998164,0.6585693860505938,924
Caucasian,0.17964071856287425,0.3971631205673759,0.478197024235568,0.6585693860505938,924
Caucasian,0.18363273453093812,0.3971631205673759,0.47816591580083007,0.6585693860505938,924
Caucasian,0.18562874251497005,0.3971631205673759,0.4780464985170858,0.6585693860505938,924
Caucasian,0.18562874251497005,0.40189125295508277,0.47781089330388565,0.6585693860505938,924
Caucasian,0.18562874251497005,0.40425531914893614,0.4777827764305284,0.6585693860505938,924
Caucasian,0.18962075848303392,0.40425531914893614,0.4777080629709571,0.6585693860505938,924
Caucasian,0.18962075848303392,0.408983451536643,0.4775295317853186,0.6585693860505938,924
Caucasian,0.18962075848303392,0.41371158392434987,0.4775071439450289,0.6585693860505938,924
Caucasian,0.18962075848303392,0.41843971631205673,0.47746923008132375,0.6585693860505938,924
Caucasian,0.18962075848303392,0.4231678486997636,0.4773619028132543,0.6585693860505938,924
Caucasian,0.19560878243512975,0.4231678486997636,0.4772206989351394,0.6585693860505938,924
Caucasian,0.19560878243512975,0.425531914893617,0.4772200272213891,0.6585693860505938,924
Caucasian,0.1996007984031936,0.425531914893617,0.47700422864889835,0.6585693860505938,924
Caucasian,0.1996007984031936,0.42789598108747046,0.4769092007001363,0.6585693860505938,924
Caucasian,0.20159680638722555,0.42789598108747046,0.47689259622081326,0.6585693860505938,924
Caucasian,0.20159680638722555,0.4326241134751773,0.4768666540213688,0.6585693860505938,924
Caucasian,0.20159680638722555,0.43498817966903075,0.476848004170679,0.6585693860505938,924
Caucasian,0.20359281437125748,0.43498817966903075,0.47670241975552774,0.6585693860505938,924
Caucasian,0.20359281437125748,0.4373522458628842,0.47667631539848737,0.6585693860505938,924
Caucasian,0.2055888223552894,0.4373522458628842,0.47663324066753965,0.6585693860505938,924
Caucasian,0.2055888223552894,0.4397163120567376,0.4763174915588274,0.6585693860505938,924
Caucasian,0.20958083832335328,0.4397163120567376,0.4762371791174885,0.6585693860505938,924
Caucasian,0.20958083832335328,0.4444444444444444,0.4761622987208536,0.6585693860505938,924
Caucasian,0.21157684630738524,0.4444444444444444,0.476151669128362,0.6585693860505938,924
Caucasian,0.21157684630738524,0.44680851063829785,0.4761500644900238,0.6585693860505938,924
Caucasian,0.2155688622754491,0.44680851063829785,0.4761066496100768,0.6585693860505938,924
Caucasian,0.2155688622754491,0.4515366430260047,0.4760359988161239,0.6585693860505938,924
Caucasian,0.22355289421157684,0.4515366430260047,0.4759600446016738,0.6585693860505938,924
Caucasian,0.22355289421157684,0.4562647754137116,0.47595543167919674,0.6585693860505938,924
Caucasian,0.2315369261477046,0.4562647754137116,0.4758358171926591,0.6585693860505938,924
Caucasian,0.2315369261477046,0.458628841607565,0.4757282487395258,0.6585693860505938,924
Caucasian,0.23552894211576847,0.458628841607565,0.4754015097462469,0.6585693860505938,924
Caucasian,0.23552894211576847,0.46335697399527187,0.4752696727370542,0.6585693860505938,924
Caucasian,0.24550898203592814,0.46335697399527187,0.4750770848544788,0.6585693860505938,924
Caucasian,0.24550898203592814,0.4657210401891253,0.4750133701978571,0.6585693860505938,924
Caucasian,0.249500998003992,0.4657210401891253,0.47489369606729726,0.6585693860505938,924
Caucasian,0.249500998003992,0.47044917257683216,0.47489085654882485,0.6585693860505938,924
Caucasian,0.25948103792415167,0.47044917257683216,0.4747351154365669,0.6585693860505938,924
Caucasian,0.25948103792415167,0.4728132387706856,0.4746318075989481,0.6585693860505938,924
Caucasian,0.26746506986027946,0.4728132387706856,0.4745727555150403,0.6585693860505938,924
Caucasian,0.26746506986027946,0.475177304964539,0.47449646125384326,0.6585693860505938,924
Caucasian,0.2694610778443114,0.475177304964539,0.47446772016229694,0.6585693860505938,924
Caucasian,0.2694610778443114,0.47754137115839246,0.4744502560886179,0.6585693860505938,924
Caucasian,0.27345309381237526,0.47754137115839246,0.47430174819457244,0.6585693860505938,924
Caucasian,0.27345309381237526,0.48226950354609927,0.47428125818915057,0.6585693860505938,924
Caucasian,0.2774451097804391,0.48226950354609927,0.4742319796795892,0.6585693860505938,924
