race,num_examples,TPR,FPR,threshold
Asian,1873,0.9265267175572519,0.7587878787878788,0.36000000000000004
Native American,262,0.6483516483516484,0.3508771929824561,0.36000000000000004
Other,2886,0.893949694085656,0.6360424028268551,0.37
Caucasian,629,0.6756756756756757,0.4135135135135135,0.37
African-American,174,0.819672131147541,0.4336283185840708,0.37
Hispanic,1186,0.789272030651341,0.5090361445783133,0.37
Asian,1873,0.9208015267175572,0.7418181818181818,0.37
Native American,262,0.6153846153846154,0.30409356725146197,0.37
Other,2886,0.8851121685927941,0.615547703180212,0.38
Caucasian,629,0.6293436293436293,0.3810810810810811,0.38
African-American,174,0.7704918032786885,0.40707964601769914,0.38
Hispanic,1186,0.7624521072796935,0.48493975903614456,0.38
Asian,1873,0.9131679389312977,0.72,0.38
Native American,262,0.6153846153846154,0.2807017543859649,0.38
Other,2886,0.8735554044867437,0.592226148409894,0.39
Caucasian,629,0.6061776061776062,0.34864864864864864,0.39
African-American,174,0.7377049180327869,0.3893805309734513,0.39
Hispanic,1186,0.7567049808429118,0.45180722891566266,0.39
Asian,1873,0.8979007633587787,0.7006060606060606,0.39
Native American,262,0.5934065934065934,0.25146198830409355,0.39
Other,2886,0.8538409245411285,0.568904593639576,0.4
Caucasian,629,0.5752895752895753,0.2972972972972973,0.4
African-American,174,0.7213114754098361,0.34513274336283184,0.4
Hispanic,1186,0.7241379310344828,0.411144578313253,0.4
Asian,1873,0.8835877862595419,0.6787878787878788,0.4
Native American,262,0.5494505494505495,0.23976608187134502,0.4
Other,2886,0.8293677770224337,0.5491166077738516,0.41000000000000003
Caucasian,629,0.5675675675675675,0.27297297297297296,0.41000000000000003
African-American,174,0.7049180327868853,0.3274336283185841,0.41000000000000003
Hispanic,1186,0.6973180076628352,0.3855421686746988,0.41000000000000003
Asian,1873,0.8645038167938931,0.6618181818181819,0.41000000000000003
Native American,262,0.5164835164835165,0.2222222222222222,0.41000000000000003
Other,2886,0.8157715839564922,0.5307420494699646,0.42000000000000004
Caucasian,629,0.5482625482625483,0.24324324324324326,0.42000000000000004
African-American,174,0.7049180327868853,0.3185840707964602,0.42000000000000004
Hispanic,1186,0.6762452107279694,0.3674698795180723,0.42000000000000004
Asian,1873,0.8530534351145038,0.6363636363636364,0.42000000000000004
Native American,262,0.5054945054945055,0.2046783625730994,0.42000000000000004
Other,2886,0.796736913664174,0.5159010600706714,0.43
Caucasian,629,0.5057915057915058,0.22432432432432434,0.43
African-American,174,0.6885245901639344,0.30973451327433627,0.43
Hispanic,1186,0.6379310344827587,0.35240963855421686,0.43
Asian,1873,0.8396946564885496,0.6181818181818182,0.43
Native American,262,0.46153846153846156,0.19298245614035087,0.43
Other,2886,0.7838205302515295,0.4862190812720848,0.44
Caucasian,629,0.46332046332046334,0.21081081081081082,0.44
African-American,174,0.6885245901639344,0.24778761061946902,0.44
Hispanic,1186,0.60727969348659,0.32981927710843373,0.44
Asian,1873,0.8263358778625954,0.593939393939394,0.44
Native American,262,0.46153846153846156,0.16374269005847952,0.44
Other,2886,0.7647858599592114,0.4614840989399293,0.45
Caucasian,629,0.444015444015444,0.1864864864864865,0.45
African-American,174,0.6229508196721312,0.23008849557522124,0.45
Hispanic,1186,0.5862068965517241,0.2996987951807229,0.45
Asian,1873,0.8091603053435115,0.5696969696969697,0.45
Native American,262,0.46153846153846156,0.15204678362573099,0.45
Other,2886,0.743031951053705,0.4381625441696113,0.46
Caucasian,629,0.42857142857142855,0.16216216216216217,0.46
African-American,174,0.5245901639344263,0.21238938053097345,0.46
Hispanic,1186,0.5670498084291188,0.28313253012048195,0.46
Asian,1873,0.7938931297709924,0.5393939393939394,0.46
Native American,262,0.4175824175824176,0.1286549707602339,0.46
Other,2886,0.7239972807613868,0.4120141342756184,0.47000000000000003
Caucasian,629,0.39768339768339767,0.15135135135135136,0.47000000000000003
African-American,174,0.45901639344262296,0.21238938053097345,0.47000000000000003
Hispanic,1186,0.5421455938697318,0.2605421686746988,0.47000000000000003
Asian,1873,0.7776717557251909,0.5078787878787879,0.47000000000000003
Native American,262,0.3956043956043956,0.1286549707602339,0.47000000000000003
Other,2886,0.707681849082257,0.3893992932862191,0.48000000000000004
Caucasian,629,0.38223938223938225,0.14054054054054055,0.48000000000000004
African-American,174,0.4262295081967213,0.19469026548672566,0.48000000000000004
Hispanic,1186,0.5229885057471264,0.24397590361445784,0.48000000000000004
Asian,1873,0.7643129770992366,0.4812121212121212,0.48000000000000004
Native American,262,0.37362637362637363,0.12280701754385964,0.48000000000000004
Other,2886,0.6913664174031271,0.3696113074204947,0.49
Caucasian,629,0.36293436293436293,0.13243243243243244,0.49
African-American,174,0.4262295081967213,0.17699115044247787,0.49
Hispanic,1186,0.5134099616858238,0.2213855421686747,0.49
Asian,1873,0.7442748091603053,0.4666666666666667,0.49
Native American,262,0.3626373626373626,0.11695906432748537,0.49
Other,2886,0.6662134602311353,0.3491166077738516,0.5
Caucasian,629,0.33204633204633205,0.12702702702702703,0.5
African-American,174,0.3770491803278688,0.1504424778761062,0.5
Hispanic,1186,0.48659003831417624,0.20933734939759036,0.5
Asian,1873,0.7213740458015268,0.4448484848484848,0.5
Native American,262,0.31868131868131866,0.10526315789473684,0.5
Other,2886,0.6444595513256288,0.3236749116607774,0.51
Caucasian,629,0.3127413127413127,0.10810810810810811,0.51
African-American,174,0.36065573770491804,0.1415929203539823,0.51
Hispanic,1186,0.46934865900383144,0.17771084337349397,0.51
Asian,1873,0.6994274809160306,0.4193939393939394,0.51
Native American,262,0.27472527472527475,0.10526315789473684,0.51
Other,2886,0.6227056424201224,0.3102473498233215,0.52
Caucasian,629,0.29343629343629346,0.0918918918918919,0.52
African-American,174,0.36065573770491804,0.13274336283185842,0.52
Hispanic,1186,0.4444444444444444,0.16265060240963855,0.52
Asian,1873,0.6765267175572519,0.40484848484848485,0.52
Native American,262,0.27472527472527475,0.0935672514619883,0.52
Other,2886,0.6091094493541809,0.2890459363957597,0.53
Caucasian,629,0.27413127413127414,0.08648648648648649,0.53
African-American,174,0.36065573770491804,0.11504424778761062,0.53
Hispanic,1186,0.41762452107279696,0.15060240963855423,0.53
Asian,1873,0.6669847328244275,0.3806060606060606,0.53
Native American,262,0.27472527472527475,0.08187134502923976,0.53
Other,2886,0.5751189666893269,0.2784452296819788,0.54
Caucasian,629,0.2548262548262548,0.07567567567567568,0.54
African-American,174,0.3114754098360656,0.08849557522123894,0.54
Hispanic,1186,0.37547892720306514,0.14457831325301204,0.54
Asian,1873,0.6412213740458015,0.3660606060606061,0.54
Native American,262,0.24175824175824176,0.08187134502923976,0.54
Other,2886,0.5533650577838205,0.2579505300353357,0.55
Caucasian,629,0.2471042471042471,0.062162162162162166,0.55
African-American,174,0.3114754098360656,0.07964601769911504,0.55
Hispanic,1186,0.35823754789272033,0.13102409638554216,0.55
Asian,1873,0.6192748091603053,0.3393939393939394,0.55
Native American,262,0.21978021978021978,0.07017543859649122,0.55
Other,2886,0.5268524813052345,0.2431095406360424,0.56
Caucasian,629,0.2471042471042471,0.051351351351351354,0.56
African-American,174,0.22950819672131148,0.07079646017699115,0.56
Hispanic,1186,0.3333333333333333,0.12198795180722892,0.56
Asian,1873,0.6001908396946565,0.31757575757575757,0.56
Native American,262,0.2087912087912088,0.07017543859649122,0.56
Other,2886,0.5050985723997281,0.22473498233215547,0.5700000000000001
Caucasian,629,0.21621621621621623,0.043243243243243246,0.5700000000000001
African-American,174,0.22950819672131148,0.061946902654867256,0.5700000000000001
Hispanic,1186,0.31992337164750956,0.10542168674698796,0.5700000000000001
Asian,1873,0.5687022900763359,0.296969696969697,0.5700000000000001
Native American,262,0.2087912087912088,0.07017543859649122,0.5700000000000001
Other,2886,0.48198504418762744,0.20565371024734982,0.5800000000000001
Caucasian,629,0.20077220077220076,0.03783783783783784,0.5800000000000001
African-American,174,0.21311475409836064,0.02654867256637168,0.5800000000000001
Hispanic,1186,0.28544061302681994,0.09186746987951808,0.5800000000000001
Asian,1873,0.5505725190839694,0.2812121212121212,0.5800000000000001
Native American,262,0.2087912087912088,0.05263157894736842,0.5800000000000001
Other,2886,0.45955132562882395,0.19151943462897528,0.59
Caucasian,629,0.19305019305019305,0.032432432432432434,0.59
African-American,174,0.21311475409836064,0.02654867256637168,0.59
Hispanic,1186,0.2624521072796935,0.08734939759036145,0.59
Asian,1873,0.5286259541984732,0.2581818181818182,0.59
Native American,262,0.2087912087912088,0.05263157894736842,0.59
Other,2886,0.43303874915023793,0.17102473498233214,0.6
Caucasian,629,0.1776061776061776,0.032432432432432434,0.6
African-American,174,0.21311475409836064,0.02654867256637168,0.6
Hispanic,1186,0.24521072796934865,0.07228915662650602,0.6
Asian,1873,0.5,0.23515151515151514,0.6
